origen,destino,linea_origen,linea_destino,franja_horaria,dia_semana,es_festivo,distancia_km,misma_linea,origen_es_transbordo,destino_es_transbordo,ocupacion_vagon,tiempo_espera_min,num_paradas_estimadas,tarifa_cop,requiere_transbordo,congestion_alta
Buenos Aires,Ayurá,T,A,mañana_pico,7,0,7.461,0,0,0,0.94,5,8,3300,1,1
Envigado,Loyola,A,T,madrugada,6,0,9.836,0,0,0,0.13,12,11,3300,1,0
San Javier,Andalucía,B,K,madrugada,2,0,7.533,0,1,0,0.12,14,5,3300,1,0
Industriales,Tricentenario,A,A,tarde_pico,4,0,6.556,1,0,0,0.78,5,14,3300,0,1
Acevedo,Poblado,A,A,tarde_pico,4,0,10.022,1,1,0,0.93,2,13,3300,0,1
Asomadera,Niquía,T,A,mañana_valle,3,0,13.303,0,0,0,0.49,7,18,3300,1,0
La Aurora,Arví,J,L,mañana_pico,4,0,15.763,0,0,0,0.8,5,16,3300,1,1
Bello,Miraflores,A,T,mañana_valle,6,0,10.337,0,0,1,0.47,7,6,3300,1,0
Loyola,Prado,T,A,tarde_valle,5,0,2.947,0,0,0,0.26,7,1,3300,1,1
Caribe,Buenos Aires,A,T,mañana_pico,7,0,4.375,0,0,0,0.76,5,11,3300,1,1
Industriales,Asomadera,A,T,mañana_valle,3,0,5.579,0,0,0,0.49,7,9,3300,1,0
Alejandro Echavarría,Ayurá,T,A,madrugada,4,0,6.994,0,0,0,0.1,8,12,3300,1,0
Poblado,Tricentenario,A,A,noche,1,0,8.64,1,0,0,0.3,7,7,3300,0,0
Bello,Trece de Noviembre,A,M,mañana_pico,2,0,11.348,0,0,0,0.78,2,7,3300,1,1
Loyola,Ayurá,T,A,mañana_valle,2,0,7.802,0,0,0,0.45,4,6,3300,1,0
La Estrella,Universidad,A,A,tarde_valle,1,0,13.479,1,0,0,0.48,8,13,3300,0,0
Miraflores,Exposiciones,T,A,madrugada,5,0,2.23,0,1,0,0.17,11,4,3300,1,0
La Estrella,Arví,A,L,madrugada,7,0,19.987,0,0,0,0.18,13,18,3300,1,0
Bicentenario,Trinidad,T,B,madrugada,5,0,4.325,0,0,0,0.16,8,14,3300,1,0
Oriente,Universidad,T,A,tarde_pico,3,0,4.769,0,0,0,0.86,5,5,3300,1,1
Bicentenario,Alpujarra,T,A,noche,5,0,2.795,0,0,0,0.34,8,18,3300,1,0
Asomadera,Loyola,T,T,tarde_pico,7,0,0.603,1,0,0,0.77,3,3,3300,0,1
Envigado,Loyola,A,T,mañana_pico,7,0,9.836,0,0,0,0.9,5,11,3300,1,1
Bello,Juan XXIII,A,J,mañana_valle,2,0,8.749,0,0,0,0.42,6,9,3300,1,0
Floresta,Envigado,B,A,tarde_valle,6,0,8.194,0,0,0,0.47,8,1,3300,1,0
Vallejuelos,Exposiciones,J,A,madrugada,2,0,6.167,0,0,0,0.17,15,18,3300,1,0
Aguacatala,Oriente,A,T,noche,6,0,7.63,0,0,0,0.25,12,1,3300,1,0
Caribe,La Estrella,A,A,mañana_pico,4,0,14.303,1,0,0,0.92,4,12,3300,0,1
Asomadera,Villa Sierra,T,K,tarde_valle,3,0,7.038,0,0,0,0.36,9,18,3300,1,1
Floresta,Trinidad,B,B,noche,4,0,1.511,1,0,0,0.2,8,8,3300,0,0
Hospital,Industriales,A,A,mañana_valle,1,0,3.755,1,0,0,0.49,5,7,3300,0,0
Industriales,Oriente,A,T,mañana_valle,6,0,6.19,0,0,0,0.45,8,10,3300,1,0
Universidad,Industriales,A,A,mañana_valle,2,0,4.515,1,0,0,0.39,6,1,3300,0,0
La Aurora,Prado,J,A,mañana_valle,1,0,7.99,0,0,0,0.54,8,10,3300,1,0
Prado,La Sierra,A,M,tarde_pico,1,0,2.974,0,0,0,0.92,4,16,3300,1,1
Asomadera,Buenos Aires,T,T,mañana_valle,2,0,1.237,1,0,0,0.54,6,16,3300,0,1
Hospital,Tricentenario,A,A,tarde_pico,4,0,3.213,1,0,0,0.72,2,5,3300,0,1
Parque Berrío,La Independencia,A,K,mañana_valle,1,0,7.114,0,0,0,0.55,4,18,3300,1,0
Alejandro Echavarría,Arví,T,L,tarde_valle,7,0,8.148,0,0,0,0.44,7,15,3300,1,0
Buenos Aires,La Estrella,T,A,tarde_valle,4,0,12.763,0,0,0,0.33,8,2,3300,1,0
Arví,Universidad,L,A,mañana_pico,6,0,8.214,0,0,0,0.8,2,6,3300,1,1
Aguacatala,Alpujarra,A,A,tarde_valle,1,0,4.648,1,0,0,0.29,7,15,3300,0,0
Santo Domingo,Asomadera,K,T,mañana_valle,1,0,7.156,0,1,0,0.36,6,15,3300,1,1
Tricentenario,Aguacatala,A,A,mañana_valle,7,0,9.82,1,0,0,0.45,5,14,3300,0,0
Hospital,Andalucía,A,K,mañana_pico,6,0,4.813,0,0,0,0.79,4,5,3300,1,1
Tricentenario,Acevedo,A,A,mañana_pico,7,0,1.496,1,0,1,0.94,4,15,3300,0,1
Hospital,Asomadera,A,T,noche,3,0,3.761,0,0,0,0.29,8,17,3300,1,0
La Aurora,Oriente,J,T,tarde_pico,1,0,12.15,0,0,0,0.85,5,11,3300,1,1
Santo Domingo,Ayurá,K,A,madrugada,1,0,14.288,0,1,0,0.12,8,9,3300,1,0
Villa Sierra,Madera,K,A,mañana_pico,4,0,3.644,0,0,0,0.88,5,9,3300,1,1
Alpujarra,Santo Domingo,A,K,tarde_pico,6,0,8.629,0,0,1,0.9,2,16,3300,1,1
Santa Lucía,Bicentenario,B,T,mañana_valle,3,0,5.07,0,0,0,0.47,5,11,3300,1,0
Alejandro Echavarría,Juan XXIII,T,J,mañana_valle,6,0,7.223,0,0,0,0.54,8,2,3300,1,0
Loyola,Caribe,T,A,mañana_valle,3,0,4.792,0,0,0,0.38,7,17,3300,1,0
Niquía,Andalucía,A,K,tarde_pico,4,0,6.235,0,0,0,0.71,4,16,3300,1,1
Trece de Noviembre,Buenos Aires,M,T,madrugada,2,0,1.588,0,0,0,0.13,10,10,3300,1,0
Buenos Aires,Juan XXIII,T,J,madrugada,1,0,8.311,0,0,0,0.2,11,6,3300,1,0
La Estrella,Villa Sierra,A,K,madrugada,5,0,17.767,0,0,0,0.14,11,4,3300,1,0
Loyola,Hospital,T,A,noche,7,1,3.225,0,0,0,0.34,8,17,3300,1,0
Envigado,Bicentenario,A,T,tarde_pico,4,0,9.149,0,0,0,0.76,3,13,3300,1,1
Exposiciones,Arví,A,L,tarde_valle,6,0,10.93,0,0,0,0.47,4,9,3300,1,0
Alejandro Echavarría,Floresta,T,B,tarde_valle,3,0,5.275,0,0,0,0.46,6,10,3300,1,0
La Independencia,Santo Domingo,K,K,noche,4,0,1.007,1,0,1,0.32,9,18,3300,0,0
Asomadera,Santa Lucía,T,B,mañana_valle,5,0,6.859,0,0,0,0.49,7,15,3300,1,1
San Javier,Exposiciones,B,A,noche,2,0,3.781,0,1,0,0.26,7,14,3300,1,0
Madera,Floresta,A,B,noche,4,0,7.725,0,0,0,0.29,12,13,3300,1,0
Suramericana,Parque Berrío,B,A,tarde_pico,1,0,1.723,0,0,0,0.73,4,4,3300,1,1
Buenos Aires,Universidad,T,A,tarde_valle,4,0,3.274,0,0,0,0.25,5,14,3300,1,1
La Sierra,Parque Berrío,M,A,madrugada,4,0,2.569,0,0,0,0.18,12,11,3300,1,0
Arví,Miraflores,L,T,noche,1,0,8.706,0,0,1,0.32,12,18,3300,1,0
Suramericana,San Javier,B,B,noche,6,0,3.083,1,0,1,0.33,9,18,3300,0,0
Madera,Trece de Noviembre,A,M,madrugada,2,0,9.477,0,0,0,0.16,12,8,3300,1,0
Caribe,Buenos Aires,A,T,madrugada,7,0,4.375,0,0,0,0.19,15,6,3300,1,0
La Estrella,Bello,A,A,madrugada,3,0,19.546,1,0,0,0.18,12,12,3300,0,0
Trinidad,Buenos Aires,B,T,mañana_pico,2,0,4.88,0,0,0,0.88,3,6,3300,1,1
Alpujarra,Caribe,A,A,tarde_valle,7,0,4.007,1,0,0,0.42,7,5,3300,0,0
Poblado,Asomadera,A,T,noche,3,0,6.334,0,0,0,0.24,11,1,3300,1,0
Loyola,Itagüí,T,A,noche,5,0,11.696,0,0,0,0.18,9,12,3300,1,0
La Independencia,La Estrella,K,A,noche,4,0,18.402,0,0,0,0.29,9,10,3300,1,1
Exposiciones,Miraflores,A,T,tarde_pico,1,0,2.23,0,0,1,0.76,4,10,3300,1,1
Itagüí,Bello,A,A,noche,4,0,18.533,1,0,0,0.2,10,2,3300,0,0
Santo Domingo,Oriente,K,T,mañana_valle,7,0,7.24,0,1,0,0.45,6,8,3300,1,0
Trece de Noviembre,Exposiciones,M,A,tarde_valle,3,0,2.428,0,0,0,0.42,9,5,3300,1,0
Trece de Noviembre,Universidad,M,A,noche,6,0,3.39,0,0,0,0.16,12,15,3300,1,0
Madera,Santo Domingo,A,K,mañana_valle,6,0,5.355,0,0,1,0.33,6,11,3300,1,0
Alejandro Echavarría,Alpujarra,T,A,mañana_pico,2,0,2.271,0,0,0,0.95,4,17,3300,1,1
Juan XXIII,Envigado,J,A,mañana_pico,3,0,9.402,0,0,0,0.98,5,10,3300,1,1
Floresta,Hospital,B,A,tarde_pico,1,0,4.255,0,0,0,0.74,3,13,3300,1,1
Andalucía,Trinidad,K,B,madrugada,7,0,6.701,0,0,0,0.13,9,15,3300,1,0
Trinidad,Ayurá,B,A,tarde_valle,4,0,6.637,0,0,0,0.46,6,4,3300,1,1
Poblado,Oriente,A,T,madrugada,5,0,6.846,0,0,0,0.19,13,8,3300,1,0
La Sierra,Tricentenario,M,A,noche,7,0,6.808,0,0,0,0.29,11,14,3300,1,0
Hospital,Parque Berrío,A,A,madrugada,1,0,1.424,1,0,0,0.13,15,4,3300,0,0
Universidad,Ayurá,A,A,tarde_valle,2,0,8.902,1,0,0,0.35,6,18,3300,0,0
Alejandro Echavarría,Santo Domingo,T,K,noche,6,0,7.337,0,0,1,0.18,9,4,3300,1,0
Oriente,Trece de Noviembre,T,M,tarde_pico,3,0,3.32,0,0,0,0.71,4,7,3300,1,1
Buenos Aires,Loyola,T,T,mañana_pico,7,0,0.634,1,0,0,1.0,4,18,3300,0,1
La Sierra,Santa Lucía,M,B,madrugada,4,0,5.371,0,0,0,0.13,9,15,3300,1,0
Caribe,Poblado,A,A,noche,6,0,7.475,1,0,0,0.27,6,2,3300,0,0
Floresta,Aguacatala,B,A,mañana_pico,7,0,6.169,0,0,0,0.77,3,7,3300,1,1
Poblado,Santa Lucía,A,B,mañana_pico,7,0,4.665,0,0,0,0.75,3,5,3300,1,1
La Aurora,Ayurá,J,A,mañana_pico,1,0,10.87,0,0,0,0.92,2,5,3300,1,1
Niquía,Trinidad,A,B,mañana_pico,5,0,10.776,0,0,0,0.83,3,9,3300,1,1
Acevedo,Parque Berrío,A,A,noche,4,0,6.05,1,1,0,0.26,11,3,3300,0,0
Asomadera,Buenos Aires,T,T,mañana_valle,5,0,1.237,1,0,0,0.45,7,17,3300,0,0
Poblado,Trece de Noviembre,A,M,madrugada,6,0,3.879,0,0,0,0.18,12,15,3300,1,0
La Sierra,Bello,M,A,madrugada,4,0,12.439,0,0,0,0.18,14,4,3300,1,0
Oriente,Buenos Aires,T,T,madrugada,1,0,1.881,1,0,0,0.13,10,3,3300,0,0
Prado,Itagüí,A,A,tarde_valle,6,0,10.703,1,0,0,0.4,9,11,3300,0,0
Suramericana,Arví,B,L,tarde_valle,3,0,10.803,0,0,0,0.36,8,14,3300,1,0
Universidad,Prado,A,A,noche,6,0,1.629,1,0,0,0.33,10,7,3300,0,0
Bicentenario,Loyola,T,T,mañana_pico,4,0,1.189,1,0,0,0.83,5,13,3300,0,1
Alejandro Echavarría,Universidad,T,A,mañana_valle,4,0,2.604,0,0,0,0.38,6,12,3300,1,0
Parque Berrío,Oriente,A,T,madrugada,1,0,4.297,0,0,0,0.18,9,14,3300,1,0
Universidad,Suramericana,A,B,mañana_pico,5,0,3.003,0,0,0,0.76,4,4,3300,1,1
Alejandro Echavarría,Santa Lucía,T,B,noche,7,0,4.527,0,0,0,0.33,6,10,3300,1,0
Santo Domingo,La Estrella,K,A,mañana_valle,1,0,19.093,0,1,0,0.44,5,5,3300,1,0
Asomadera,Poblado,T,A,madrugada,3,0,6.334,0,0,0,0.18,13,4,3300,1,0
Envigado,La Independencia,A,K,mañana_pico,7,0,15.463,0,0,0,0.89,2,9,3300,1,1
Bello,Exposiciones,A,A,mañana_valle,6,0,10.797,1,0,0,0.49,6,12,3300,0,0
Niquía,Exposiciones,A,A,mañana_pico,5,0,12.124,1,0,0,0.91,2,5,3300,0,1
Trece de Noviembre,Bello,M,A,madrugada,6,0,11.348,0,0,0,0.15,14,14,3300,1,0
Loyola,Floresta,T,B,mañana_pico,3,0,7.004,0,0,0,0.83,4,3,3300,1,1
Acevedo,San Antonio,A,A,mañana_pico,7,0,6.292,1,1,1,0.92,4,15,3300,0,1
Bicentenario,Juan XXIII,T,J,tarde_valle,4,0,7.762,0,0,0,0.35,5,17,3300,1,1
Hospital,Trinidad,A,B,tarde_pico,1,0,2.976,0,0,0,0.77,5,17,3300,1,1
La Estrella,Madera,A,A,mañana_pico,4,0,18.071,1,0,0,1.0,2,1,3300,0,1
Industriales,San Javier,A,B,mañana_pico,7,1,3.938,0,0,1,0.81,4,4,3300,1,0
Niquía,Juan XXIII,A,J,noche,4,0,9.602,0,0,0,0.19,9,18,3300,1,0
Poblado,Vallejuelos,A,J,tarde_valle,7,0,8.038,0,0,0,0.34,7,2,3300,1,0
Bicentenario,Bello,T,A,tarde_pico,1,0,10.842,0,0,0,0.92,5,13,3300,1,1
Trece de Noviembre,Alejandro Echavarría,M,T,mañana_valle,1,0,0.952,0,0,0,0.4,6,6,3300,1,1
Arví,Loyola,L,T,noche,3,0,6.819,0,0,0,0.17,12,4,3300,1,0
Aguacatala,Buenos Aires,A,T,tarde_valle,4,0,6.357,0,0,0,0.38,7,10,3300,1,1
Floresta,Poblado,B,A,mañana_valle,7,1,5.151,0,0,0,0.43,4,17,3300,1,0
Juan XXIII,Exposiciones,J,A,mañana_valle,3,0,5.035,0,0,0,0.48,5,8,3300,1,1
Universidad,San Antonio,A,A,mañana_valle,2,0,2.627,1,0,1,0.34,5,3,3300,0,0
Alpujarra,La Sierra,A,M,tarde_pico,4,0,2.932,0,0,0,0.89,5,11,3300,1,1
Trece de Noviembre,San Javier,M,B,mañana_pico,4,0,6.038,0,0,1,0.77,5,10,3300,1,1
Envigado,Santo Domingo,A,K,madrugada,3,0,16.076,0,0,1,0.15,12,15,3300,1,0
Buenos Aires,Madera,T,A,madrugada,3,0,9.225,0,0,0,0.18,9,3,3300,1,0
Arví,Santo Domingo,L,K,tarde_valle,4,0,5.533,0,0,1,0.37,8,2,3300,1,0
Buenos Aires,La Independencia,T,K,noche,2,0,6.875,0,0,0,0.21,9,17,3300,1,1
Parque Berrío,Acevedo,A,A,tarde_pico,1,0,6.05,1,0,1,0.9,4,3,3300,0,1
Juan XXIII,Alpujarra,J,A,madrugada,2,0,5.23,0,0,0,0.17,15,17,3300,1,0
Vallejuelos,Trece de Noviembre,J,M,mañana_pico,3,0,8.338,0,0,0,0.84,4,13,3300,1,1
Alejandro Echavarría,Floresta,T,B,noche,5,0,5.275,0,0,0,0.16,11,11,3300,1,0
Tricentenario,Santa Lucía,A,B,madrugada,5,0,5.161,0,0,0,0.17,12,9,3300,1,0
Santo Domingo,Parque Berrío,K,A,mañana_valle,1,0,7.719,0,1,0,0.45,5,12,3300,1,0
La Estrella,Alejandro Echavarría,A,T,mañana_pico,5,0,12.106,0,0,0,0.93,2,10,3300,1,1
Andalucía,Suramericana,K,B,noche,7,0,6.579,0,0,0,0.18,11,17,3300,1,0
Caribe,Buenos Aires,A,T,tarde_valle,3,0,4.375,0,0,0,0.25,6,6,3300,1,1
Industriales,Santa Lucía,A,B,tarde_pico,2,0,2.628,0,0,0,0.76,3,5,3300,1,1
Tricentenario,La Estrella,A,A,madrugada,5,0,15.354,1,0,0,0.18,8,11,3300,0,0
Arví,Prado,L,A,tarde_valle,4,0,8.762,0,0,0,0.29,5,6,3300,1,0
Buenos Aires,Madera,T,A,tarde_pico,3,0,9.225,0,0,0,0.87,3,15,3300,1,1
Arví,Itagüí,L,A,noche,7,0,18.492,0,0,0,0.26,8,16,3300,1,1
Exposiciones,Suramericana,A,B,noche,5,0,1.083,0,0,0,0.35,9,10,3300,1,1
Suramericana,Vallejuelos,B,J,tarde_valle,4,0,5.378,0,0,0,0.49,5,5,3300,1,0
Ayurá,Acevedo,A,A,noche,4,0,12.484,1,0,1,0.32,10,4,3300,0,0
Vallejuelos,Hospital,J,A,mañana_valle,1,0,6.937,0,0,0,0.49,6,15,3300,1,0
Juan XXIII,Parque Berrío,J,A,tarde_pico,1,0,5.921,0,0,0,0.94,3,15,3300,1,1
Santa Lucía,Bello,B,A,tarde_pico,1,0,9.343,0,0,0,0.8,4,8,3300,1,1
Suramericana,Caribe,B,A,mañana_valle,2,0,3.745,0,0,0,0.31,4,11,3300,1,0
Parque Berrío,Prado,A,A,madrugada,3,0,0.678,1,0,0,0.19,15,5,3300,0,0
Asomadera,Buenos Aires,T,T,tarde_valle,1,0,1.237,1,0,0,0.48,4,9,3300,0,0
Industriales,Parque Berrío,A,A,tarde_valle,6,0,2.481,1,0,0,0.4,7,4,3300,0,0
Itagüí,Aguacatala,A,A,mañana_valle,1,0,4.949,1,0,0,0.31,7,15,3300,0,0
Tricentenario,Prado,A,A,tarde_pico,5,0,3.964,1,0,0,0.83,3,5,3300,0,1
Itagüí,Buenos Aires,A,T,madrugada,5,0,11.293,0,0,0,0.14,14,6,3300,1,0
Caribe,La Aurora,A,J,mañana_valle,1,0,7.38,0,0,0,0.54,8,17,3300,1,1
Juan XXIII,Villa Sierra,J,K,madrugada,4,0,8.743,0,0,0,0.19,8,13,3300,1,0
Trinidad,Ayurá,B,A,noche,1,0,6.637,0,0,0,0.22,6,12,3300,1,0
Aguacatala,La Sierra,A,M,madrugada,7,0,4.521,0,0,0,0.18,10,2,3300,1,0
Santa Lucía,Andalucía,B,K,mañana_valle,7,0,6.884,0,0,0,0.51,7,16,3300,1,1
Trece de Noviembre,Alpujarra,M,A,mañana_pico,1,0,2.03,0,0,0,0.93,5,2,3300,1,1
Itagüí,Exposiciones,A,A,madrugada,7,1,8.492,1,0,0,0.1,12,17,3300,0,0
Miraflores,Andalucía,T,K,tarde_pico,3,0,6.305,0,1,0,0.71,3,10,3300,1,1
Santa Lucía,Acevedo,B,A,noche,3,0,6.208,0,0,1,0.2,12,12,3300,1,1
Bicentenario,Miraflores,T,T,noche,4,0,1.2,1,0,1,0.33,9,11,3300,0,0
Alpujarra,Juan XXIII,A,J,noche,4,0,5.23,0,0,0,0.22,12,17,3300,1,0
Envigado,Caribe,A,A,noche,4,0,11.494,1,0,0,0.17,10,6,3300,0,0
La Aurora,Itagüí,J,A,mañana_valle,1,0,11.731,0,0,0,0.32,6,10,3300,1,0
Buenos Aires,Arví,T,L,noche,4,0,7.292,0,0,0,0.18,9,12,3300,1,0
Buenos Aires,Madera,T,A,noche,7,0,9.225,0,0,0,0.27,9,9,3300,1,0
Trece de Noviembre,Acevedo,M,A,madrugada,6,0,7.238,0,0,1,0.16,13,17,3300,1,0
San Antonio,Bello,A,A,mañana_pico,7,0,10.217,1,1,0,0.95,2,5,3300,0,1
Tricentenario,Ayurá,A,A,noche,3,0,11.1,1,0,0,0.22,10,2,3300,0,0
Santo Domingo,Parque Berrío,K,A,noche,4,0,7.719,0,1,0,0.34,8,15,3300,1,1
